#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      722 855
There	      -1 -1
Vnum	      1588
Prevsector   26
Area	      ~
Description  &PAn impressive gatehouse to a large walled city is nearby.&w~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      645 873
There	      -1 -1
Vnum	      3449
Prevsector   26
Area	      khantul.are~
Description  &OA winding path is ahead leading towards a walled manor.&w~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      669 832
There	      -1 -1
Vnum	      1400
Prevsector   26
Area	      ~
Description  &cA dirt path breaks ahead through a swamp, leading into the darkness.&w~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      682 832
There	      -1 -1
Vnum	      1406
Prevsector   26
Area	      ~
Description  &cA dirt path breaks ahead through a swamp, leading into the darkness.&w~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      736 812
There	      -1 -1
Vnum	      2724
Prevsector   26
Area	      newlight.are~
Description  &YThe dilapidated remains of an ancient lighthouse lies ahead.&w~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      735 817
There	      -1 -1
Vnum	      2700
Prevsector   26
Area	      newlight.are~
Description  &YLarge dunes of warm sand weave up and down towards the sea here.~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      755 837
There	      -1 -1
Vnum	      2712
Prevsector   26
Area	      ~
Description  &YLarge dunes of warm sand weave up and down towards the sea here.&w~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      735 827
There	      -1 -1
Vnum	      2130
Prevsector   33
Area	      ~
Description  &gA path here leads deep into the forest nearby.~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      758 883
There	      -1 -1
Vnum	      2152
Prevsector   33
Area	      ~
Description  &gA small path leads into the darkness of the thick forest ahead.&w~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      720 886
There	      -1 -1
Vnum	      2018
Prevsector   33
Area	      ~
Description  &gA small path leads into the darkness of the thick forest ahead.&w~
End

#ENTRANCE
ToMap	      0
OnMap	      0
Here	      683 891
There	      683 891
Vnum	      2900
Prevsector   26
Area	      skyfall.are~
Description  &CA small dirt road leading towards a quaint fishing village is here.&w~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      677 891
There	      -1 -1
Vnum	      2922
Prevsector   26
Area	      skyfall.are~
Description  &wA path towards an airship landing site has been established here.~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      677 894
There	      -1 -1
Vnum	      2920
Prevsector   20
Area	      skyfall.are~
Description  &CA small path from the shore to the nearby fishing village is here.&w~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      646 857
There	      -1 -1
Vnum	      2054
Prevsector   33
Area	      ~
Description  &gA path here leads deep into the forest nearby.~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      761 884
There	      -1 -1
Vnum	      2452
Prevsector   29
Area	      ~
Description  &gThe sound of something rustling in the tall grasses nearby is heard here.&w~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      774 887
There	      -1 -1
Vnum	      2400
Prevsector   26
Area	      ~
Description  &YWarm bells can be heard nearby from within the walls of a large abbey.&w~
End

#ENTRANCE
ToMap	      -1
OnMap	      0
Here	      722 851
There	      -1 -1
Vnum	      2099
Prevsector   26
Area	      ~
