#SKILL
Name         reserved~
Type         Spell
Info         0
Flags        0
Minpos       112
Slot         95
Code         spell_null
Dammsg       ~
Wearoff      ???~
Minlevel     51
Circle       0
End

#SKILL
Name         absolute immunity~
Type         Spell
Info         0
Flags        1048576
Target       3
Minpos       110
Rounds       12
Code         spell_smaug
Dammsg       ~
Wearoff      &WYour powerful immunity disappears suddenly...&w~
Hitvict      &WAn intense pulsating wave of protective energy washes over you!&w~
Hitroom      &W$n glows for a moment with an intense pulsating energy!&w~
Castchar      You sprinkle some powdered diamond while chanting, 'Kosua Ghoros Folion Mahibir!'~
Castroom      $n sprinkles some powdered diamond while chanting, 'Kosua Ghoros Folion Mahibir!'~
Components   V@2331~
Affect       '20' 28 '13' -1
Affect       '20' 28 '14' -1
Minlevel     51
Circle       0
End

#SKILL
Name         absorb health~
Type         Spell
Info         0
Flags        1024
Target       3
Minpos       113
Rounds       14
Code         spell_smaug
Dammsg       ~
Hitvict      &zYou drain away the last of the vitality from a corpse into yourself!&w~
Hitroom      &z$n closes %s eyes for a few moments.~
Castchar      You take a corpse and begin chanting, 'Horth Noh Brind Noh Ghustarg Mas!'~
Castroom      You take a corpse and begin chanting, 'Horth Noh Brind Noh Ghustarg Mas!'~
Components   K@Corpse~
Affect       '' 59 '15' -1
Affect       '' 13 '1d10+(L/5)' -1
Affect       '' 14 '1d10+(L/5)' -1
Minlevel     51
Circle       0
End

#SKILL
Name         absorb mind~
Type         Spell
Info         0
Flags        1121280
Target       3
Minpos       113
Slot         343
Mana         30
Rounds       12
Code         spell_smaug
Dammsg       ~
Wearoff      &pYou feel the absorbed mental powers leave your body...&w~
Hitvict      &pYour mind rushes with energy as you absorb the remaining life force from a corpse!&w~
Hitroom      &p$n's outline blurs for a moment before returning to normal.&w~
Castchar      You take a corpse and begin chanting, 'Ruj Gentac Sattad Ohn Dinbri Hob Qaaniat Zamorho!'~
Castroom      $n takes a corpse and begins chanting, 'Ruj Gentac Sattad Ohn Dinbri Hob Qaaniat Zamorho!'~
Components   K@corpse~
Affect       '1000' 4 '1d4' -1
Affect       '1000' 3 '1d4' -1
Affect       '' 59 '5' -1
Minlevel     18
Circle       0
End

#SKILL
Name         absorb vitality~
Type         Spell
Info         0
Flags        1121280
Target       3
Minpos       113
